Año,Categoría,País,Género,Edad,Sexo
2017,Profesional,Si,Drama,40.0,Masculino
2017,Profesional,Si,Drama,38.0,Femenino
2017,Profesional,Si,Terror,23.0,Femenino
2017,Profesional,Si,Drama,25.0,Masculino
2017,Profesional,Si,Drama,20.0,Femenino
2017,Profesional,Si,Drama,39.0,Femenino
2017,Profesional,Si,Drama,40.0,Masculino
2017,Profesional,Si,Suspenso,28.0,Masculino
2017,Profesional,Si,Ficción,36.0,Masculino
2017,Profesional,Si,Comedia romántica,39.0,Masculino
2017,Profesional,Si,Documental,18.0,Masculino
2017,Profesional,Si,Comedia,47.0,Femenino
2017,Profesional,Si,FicciÃ³n,18.0,Masculino
2017,Profesional,Si,Ficción,44.0,Masculino
2017,Profesional,Si,Ficción,36.0,Masculino
2017,Profesional,Si,Suspenso,29.0,Masculino
2017,SmarTIC,Si,Suspenso,32.0,Masculino
2017,SmarTIC,Si,Acción,29.0,Masculino
2017,SmarTIC,Si,Acción,29.0,Masculino
2017,SmarTIC,Si,Comedia romántica,22.0,Femenino
2017,SmarTIC,Si,Ficción,31.0,Masculino
2017,SmarTIC,Si,Documental,20.0,Masculino
2017,SmarTIC,Si,Documental,39.0,Masculino
2017,SmarTIC,Si,Drama,14.0,Femenino
2017,SmarTIC,Si,Acción,26.0,Masculino
2017,SmarTIC,Si,Drama,32.0,Masculino
2017,SmarTIC,Si,Drama,48.0,Masculino
2017,SmarTIC,Si,Ficción,17.0,Masculino
2017,SmarTIC,Si,Documental,7.0,Femenino
2017,SmarTIC,Si,Drama,38.0,Masculino
